
"Day 3 · Day 3 · Week 22 · Hyrox Training · Deload","2024-10-31 4:47 pm","1:05 hr"
"4. Lean Away Lateral Raises · Cable · 10 reps · Superset 2"
#,KG,REPS
1,7.5,8
2,7.5,7
3,7.5,8
"5. Burpees · Bodyweight · 10 reps · Superset 1"
#,REPS,MINS
1,10,1
2,10,1
3,10,1
"6. Wall Balls · Misc · 10 reps · Superset 2"
#,KG,REPS
1,6,20
2,6,20
3,6,20
"7. Running on Treadmill · Machine · 20 min"
#,KM,MINS
1,2.8,13:30

"Day 5 · Day 4 · Week 19 · Hyrox Training · Deload","2024-10-12 8:41 am","1:34 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,15
2,+0,9
3,+0,7
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,90,6
2,80,7
3,80,6
"3. Behind-the-Back Curls · Cable · 10 reps"
#,KG,REPS
1,12.5,7
2,12.5,7
3,12.5,6
4,10,9
"4. Crunches · Bodyweight · 10 reps · Superset 1"
#,KG,REPS
1,+0,20
2,+0,15
3,+0,15
"5. Leg Raises · Bodyweight · 10 reps · Superset 2"
#,KG,REPS
1,+0,15
2,+0,16
3,+0,15
"6. Russian Twists With Kettlebell · Kettlebells · 10 reps · Superset 3"
#,KG,REPS
1,16,10
2,16,10
3,16,10
"7. Side Bends · Kettlebells · 10 reps · Superset 4"
#,KG,REPS
1,24,12
2,24,14
3,24,15
"8. Running on Treadmill · Machine · 3 cm"
#,KM,MINS
1,5,22

"Day 3 · Day 3 · Week 19 · Hyrox Training · Deload","2024-10-10 4:40 pm","43 min"
"1. SkiErg · Machine"
#,KM,MINS
1,1,4:15
2,0.5,1:58
3,0.5,2:08
4,0.5,2:08
5,0.5,2:07
"2. Walking Lunges · Barbell · 10 reps"
#,KG,REPS
1,25,50
2,25,50
3,25,50
"3. Sled pull · Misc · Superset 1"
#,KG,MTRS
1,157,14
2,157,14
"4. Sled Push · Misc · 40 cm · Superset 2"
#,KG,MTRS
1,157,14
2,157,14

"Day 1 · Day 2 · Week 19 · Hyrox Training · Deload","2024-10-09 4:42 pm","53 min"
"1. Bench Press · Barbell · 6 reps"
#,KG,REPS
1,100,2
2,80,8
3,80,6
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,50,2
2,45,7
3,45,5
"3. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+0,30
2,+0,18
3,+0,18
"4. Lean Away Lateral Raises · Cable · 10 reps · Superset 1"
#,KG,REPS
1,7.5,7
2,7.5,8
3,7.5,8
"5. Triceps Pushdowns with Rope · Cable · 10 reps · Superset 2"
#,KG,REPS
1,21.25,10
2,21.25,8
3,21.25,7

"Day 2 · Day 1 · Week 19 · Hyrox Training · Deload","2024-10-08 4:00 pm","1:22 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,16
2,+0,10
3,+0,7
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,90,6
2,80,7
3,80,6
"3. Behind-the-Back Curls · Cable · 10 reps"
#,KG,REPS
1,12.5,8
2,12.5,7
3,10,8
"4. Rowing Machine · Machine · 4 min · Superset 1"
#,KM,MINS
1,0.5,1:43
2,0.5,1:46
3,0.5,1:49
4,0.5,1:45
"5. Farmer's Walk · Kettlebells · 100 cm · Superset 2"
#,KG,MTRS
1,24,100
2,24,100
3,24,100
4,24,100
"6. Running on Treadmill · Machine · 30 min"
#,KM,MINS
1,0.7,4

"Day 3 · Day 3 · Week 18 · Hyrox Training · Deload","2024-10-04 4:43 pm","57 min"
"1. Squats · Barbell · 10 reps"
#,KG,REPS
1,110,8
2,130,5
3,130,4
"2. Standing Calf Raises · Machine · 10 reps"
#,KG,REPS
1,105,12
2,125,11
3,125,10
"3. Seated Leg Curls · Machine · 10 reps"
#,KG,REPS
1,75,10
2,82,8
3,82,6
"4. Walking Lunges · Barbell · 10 reps"
#,KG,REPS
1,25,50
2,25,50
3,25,50
"5. Sled pull · Misc · Superset 1"
#,KG,MTRS
1,127,14
2,127,14
"6. Sled Push · Misc · 40 cm · Superset 2"
#,KG,MTRS
1,152,21
2,152,21

"Day 1 · Day 2 · Week 18 · Hyrox Training · Deload","2024-10-03 4:56 pm","1:01 hr"
"1. Chest Press · Machine · 6 reps"
#,KG,REPS
1,90,4
2,80,6
3,80,6
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,45,6
2,45,6
3,45,5
"3. Triceps Pushdowns · Cable · 10 reps · Superset 1"
#,KG,REPS
1,28.75,12
2,28.75,8
3,28.75,9
"4. Lean Away Lateral Raises · Cable · 10 reps · Superset 2"
#,KG,REPS
1,7.5,9
2,7.5,8
3,7.5,8
"5. Burpees · Bodyweight · 10 reps · Superset 1"
#,REPS,MINS
1,10,1
2,10,1
3,10,1
"6. Goblet Squat & Press · Kettlebells · 10 reps · Superset 2"
#,KG,REPS
1,24,10
2,24,10
3,24,10

"Day 2 · Day 1 · Week 18 · Hyrox Training · Deload","2024-09-30 5:22 pm","46 min"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,16
2,+0,10
3,+0,7
"2. Rows with Close Grip · Cable · 10 reps"
#,KG,REPS
1,90,6
2,80,8
3,80,6
"3. Curls · Cable · 10 reps"
#,KG,REPS
1,25,12
2,25,12
3,25,8
"4. Rowing Machine · Machine · 4 min"
#,KM,MINS
1,1.5,5:47

"Day 6 · Day 6 · Week 17 · Hyrox Training · Deload","2024-09-29 12:58 pm","1:30 hr"
"1. Running · Bodyweight · 1 cm · 5 min"
#,KM,MINS
1,1.1,5
"2. SkiErg · Machine · 1 cm · 5 min"
#,KM,MINS
1,1,5
"3. Running · Bodyweight · 1 cm · 5 min"
#,KM,MINS
1,1.1,5
"4. Sled Push · Misc · 50 cm"
#,KG,MTRS
1,152,50
"5. Running · Bodyweight · 1 cm · 5 min"
#,KM,MINS
1,1.1,5
"6. Sled pull · Misc · 50 cm"
#,KG,MTRS
1,125,50
"7. Running · Bodyweight · 1 cm · 5 min"
#,KM,MINS
1,1.1,5
"8. BBJ · Bodyweight · 1 cm · 5 min"
#,MTRS,MINS
1,80,5
"9. Rowing Machine · Machine · 1 cm · 5 min"
#,KM,MINS
1,1,5
"10. Running · Bodyweight · 1 cm · 5 min"
#,KM,MINS
1,1.1,5
"11. Running · Bodyweight · 1 cm · 5 min"
#,KM,MINS
1,1.1,5
"12. Farmer's Walk · Dumbbells · 200 cm"
#,KG,MTRS
1,25,200
"13. Running · Bodyweight · 1 cm · 5 min"
#,KM,MINS
1,1.1,5
"14. Walking Lunges · Barbell · 50 reps"
#,KG,REPS
1,25,50
"15. Wall Balls · Misc · 100 reps"
#,KG,REPS
1,6,100
"16. Running · Bodyweight · 1 cm · 5 min"
#,KM,MINS
1,1.1,5

"Day 4 · Day 5 · Week 17 · Hyrox Training · Deload","2024-09-24 4:42 pm","1 min"
"1. Incline Bench Press · Barbell · 10 reps"
#,KG,REPS
1,80,3
2,70,6
3,70,5
"2. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+0,30
2,+0,16
3,+0,18
"3. Triceps Pushdowns · Cable · 10 reps · Superset 1"
#,KG,REPS
1,28.75,8
2,28.75,8
3,28.75,6
4,25,8
"4. Lean Away Lateral Raises · Cable · 10 reps · Superset 2"
#,KG,REPS
1,7.5,9
2,7.5,8
3,7.5,8
4,7.5,7
"5. Flys · Cable · 10 reps"
#,KG,REPS
1,13.75,10
2,13.75,8
3,13.75,6
"6. Cycling on Stationary Bike · Machine"
#,KM,MINS
1,5,10:07

"Day 2 · Day 1 · Week 17 · Hyrox Training · Deload","2024-09-23 4:04 pm","1:10 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+10,10
2,+10,7
3,+0,10
"2. One-Arm Rows · Dumbbells · 10 reps"
#,KG,REPS
1,35,9
2,35,9
3,35,8
"3. Preacher Curls · EZ bar · 10 reps"
#,KG,REPS
1,35,10
2,35,6
3,30,8
"4. Rowing Machine · Machine · 4 min · Superset 1"
#,KM,MINS
1,0.5,1:42
2,0.5,1:48
3,0.5,1:50
"5. Farmer's Walk · Kettlebells · 100 cm · Superset 2"
#,KG,MTRS
1,24,100
2,24,100
3,24,100

"Day 1 · Day 2 · Week 16 · Hyrox Training · Deload","2024-09-21 12:31 pm","1:14 hr"
"1. Bench Press · Dumbbells · 6 reps","Left pec pain, be careful of tear"
#,KG,REPS
1,37.5,7
2,37.5,6
3,35,5
"2. Standing Shoulder Press · Barbell · 10 reps"
#,KG,REPS
1,45,5
2,45,6
3,45,5
"3. Lateral Raises · Machine · 10 reps"
#,KG,REPS
1,53,8
2,53,8
3,46,7
"4. Triceps Pushdowns · Cable · 10 reps"
#,KG,REPS
1,28.75,13
2,28.75,8
3,25,11
"5. Cycling on Stationary Bike · Machine · 20 min"
#,KM,MINS
1,10,20:31

"Day 5 · Day 4 · Week 16 · Hyrox Training · Deload","2024-09-19 4:31 pm","1:41 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,15
2,+0,11
3,+0,7
"2. Rows with Wide Grip · Cable · 10 reps"
#,KG,REPS
1,80,8
2,80,7
3,70,11
"3. Behind-the-Back Curls · Cable · 10 reps"
#,KG,REPS
1,12.5,8
2,12.5,7
3,10,8
"4. Decline Crunches · Bodyweight · 10 reps · Superset 1"
#,KG,REPS
1,+20,20
2,+20,15
3,+20,15
"5. Leg Raises · Bodyweight · 10 reps · Superset 2"
#,KG,REPS
1,+0,20
2,+0,15
3,+0,15
"6. Russian Twists · Bodyweight · 10 reps · Superset 3"
#,KG,REPS
1,+12,12
2,+12,12
3,+12,20
"7. Side Bends · Kettlebells · 10 reps · Superset 4"
#,KG,REPS
1,24,12
2,24,13
3,24,15
"8. Running on Treadmill · Machine · 3 cm"
#,KM,MINS
1,3,14:25

"Day 3 · Day 3 · Week 16 · Hyrox Training · Deload","2024-09-18 4:22 pm","1:05 hr"
"1. Squats · Barbell · 10 reps"
#,KG,REPS
1,110,8
2,110,8
3,110,8
"2. Seated Leg Curls · Machine · 10 reps"
#,KG,REPS
1,75,10
2,75,10
3,75,10
"3. Standing Calf Raises · Machine · 10 reps"
#,KG,REPS
1,115,12
2,115,12
3,115,10
"4. Sled Push · Misc · 40 cm"
#,KG,MTRS
1,152,28
2,152,28
3,152,28
"5. Walking Lunges · Barbell · 10 reps"
#,KG,REPS
1,25,40
2,25,40
3,25,40

"Day 4 · Day 5 · Week 16 · Hyrox Training · Deload","2024-09-17 4:15 pm","59 min"
"1. Incline Bench Press · Barbell · 10 reps"
#,KG,REPS
1,80,2
2,70,7
3,70,5
"2. Dips · Bodyweight · 10 reps"
#,KG,REPS
1,+0,30
2,+0,19
3,+0,20
"3. Lean Away Lateral Raises · Cable · 10 reps · Superset 1"
#,KG,REPS
1,7.5,9
2,7.5,7
3,7.5,6
"4. Triceps Pushdowns · Cable · 10 reps · Superset 2"
#,KG,REPS
1,25,10
2,25,12
3,25,11
"5. Cycling on Stationary Bike · Machine"
#,KM,MINS
1,5,10:07

"Day 2 · Day 1 · Week 16 · Hyrox Training · Deload","2024-09-16 4:36 pm","1:20 hr"
"1. Pull-Ups with Wide Overhand Grip · Bodyweight · 10 reps"
#,KG,REPS
1,+0,16
2,+0,10
3,+0,8
